Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,CO_GasSensor,Ambient Light Level,Activity Level,MetalOxide_PCA,Time of Day_evening,Time of Day_morning,Time of Day_night,HVAC Operation Mode_eco_mode,HVAC Operation Mode_heating_active,HVAC Operation Mode_maintenance_mode,HVAC Operation Mode_off,HVAC Operation Mode_ventilation_only
19.75,50.36,82.03150153111737,620.5032854136695,1.0,,2,1.3065478362610847,0,0,0,0,0,0,1,0
24.02,48.39,128.69236054707457,539.5924382808798,3.5,2.0,0,-3.1745433857164236,1,0,0,0,0,1,0,0
20.68,51.39,82.11963477003951,618.2821226306764,1.0,3.0,1,1.0846680421634503,0,0,0,0,0,0,0,0
20.51,49.3,72.22827130716726,622.2855696366271,1.0,3.0,1,0.5667015052980807,0,0,0,1,0,0,0,0
19.64,51.39,139.90216812296558,579.3019063891666,1.0,1.0,1,-0.12066315987766163,0,1,0,0,0,0,1,0
20.14,49.06,78.41885375184202,629.8702582161578,2.0,3.0,1,0.5597653440551867,0,0,0,0,0,1,0,0
20.46,48.68,86.69215989989466,621.53228120042,1.0,2.0,2,0.3949924879449648,0,0,0,0,0,0,0,0
20.17,49.76,82.71034869962773,614.6654057774988,1.0,,1,-0.08072087309557653,0,0,0,0,0,0,0,0
29.580000000000005,49.07,74.4119451101567,620.2173120425438,1.0,2.0,2,0.2725679898231694,0,0,0,1,0,0,0,0
29.580000000000005,47.17,78.71040024773285,565.6937393337957,0.0,,1,2.15257398029599,0,0,0,0,1,0,0,0
20.43,50.1,83.17976872178201,619.4582750567791,1.0,1.0,2,0.3658777347517413,0,0,0,0,0,0,0,0
20.62,49.78,80.43205163699889,617.4874108490756,1.0,3.0,2,0.2954553013481272,0,0,0,0,0,0,1,0
24.18,50.84,142.13385923937366,555.8271749759981,3.0,2.0,0,-3.8975470694997987,1,0,0,0,1,0,0,0
20.17,51.22,93.4549862507796,605.9178391852383,1.0,3.0,0,-0.49583573170658035,0,0,0,0,0,0,1,0
22.5,55.28,133.21845630277076,561.1622691071584,2.0,1.0,0,-2.8807585339111186,1,0,0,0,0,1,0,0
22.99,51.07,116.78090387040804,532.6837189245388,3.5,2.0,0,-2.4218481391161277,0,0,0,0,0,0,0,0
20.19,59.812499999999986,89.47090952631116,620.3647937532222,1.0,3.0,0,0.06689283719015475,0,0,0,0,1,0,0,0
20.11,51.83,91.1358812843412,622.0646705076027,1.0,0.0,0,0.19711124500588634,0,0,0,0,0,0,1,0
20.46,52.84,104.57363217698487,549.9899683973821,1.0,2.0,0,0.18213985445517067,0,0,1,0,1,0,0,0
21.93,49.83,54.38711065196236,602.3768660001213,1.0,2.0,1,-0.8030232161515222,0,0,1,0,0,0,0,0
29.580000000000005,51.67,105.63099753884984,596.5348687146836,1.0,,2,1.1017350478594212,0,1,0,0,0,0,0,0
19.73,52.82,90.26054296259922,615.8839004087587,1.0,1.0,1,0.21377820667606362,0,0,0,0,0,1,0,0
19.66,53.02,88.5550789481028,618.0017121206158,1.0,2.0,1,-0.06960624118154281,0,0,0,0,0,0,0,0
21.73,51.39,97.11228360986809,576.2412798901831,1.0,2.0,0,-0.015117427586807156,0,0,0,1,0,0,0,0
19.47,51.39,101.7128459123834,579.5094117526194,1.0,3.0,1,-0.6639697419428153,0,1,0,0,0,0,1,0
17.14,43.94,97.56472474585796,595.7506123617169,1.0,,1,0.220266157774673,0,1,0,0,0,0,0,1
19.25,54.18,85.5083014374421,614.890761132058,1.0,0.0,2,0.08800155995583207,0,0,0,1,0,0,0,0
19.15,51.39,81.53037662369432,619.2927776146923,1.0,,1,0.30602863652597995,0,0,0,0,0,1,0,0
19.25,54.29,82.72854916707328,617.7141023503868,1.0,3.0,1,0.736955478152984,0,0,0,0,1,0,0,0
19.36,51.39,86.91719748451638,615.1516861901864,1.0,2.0,0,-0.25490065707656134,0,0,0,0,0,1,0,0
21.91,51.39,124.913681207635,576.125566635466,2.0,3.0,0,-0.3108038123447998,1,0,0,0,0,1,0,0
20.21,52.43,92.16789598157985,611.7725731093287,1.0,2.0,0,0.3177196893348373,0,0,0,0,1,0,0,0
20.88,51.1,87.69348040648408,613.5519318143632,1.0,1.0,0,0.5625909339326869,0,0,0,0,1,0,0,0
21.23,51.39,93.08604725416076,613.0982916361886,1.0,2.0,0,0.23090802861926268,0,0,0,0,1,0,0,0
21.58,50.26,85.4337311333106,617.1213671543585,1.0,3.0,0,-0.7610849970540524,0,0,0,0,1,0,0,0
19.87,50.52,113.2219155059498,581.2597904541452,2.0,2.0,0,-1.0916800306182195,1,0,0,0,0,1,0,0
21.09,52.71,96.59124055755932,610.2071338858742,1.0,1.0,1,0.5732346760989758,0,0,0,0,0,0,0,1
21.57,51.77,97.77632534547683,613.9738586256398,1.0,3.0,1,0.7463651429239863,0,0,0,0,0,0,0,1
21.75,51.55,95.36183471922072,610.4092309060856,1.0,2.0,1,0.5142394028277005,0,0,0,0,1,0,0,0
21.68,51.39,103.22161530710808,606.9676488063321,1.0,2.0,0,0.3915331884005947,0,0,0,0,0,0,0,1
20.0,52.64,100.34536330922164,581.9043234748661,1.0,3.0,1,0.13826174605788197,1,0,0,1,0,0,0,0
20.59,53.55,112.05749067079122,594.2367021200208,1.0,1.0,0,-0.12993215722437307,0,0,1,1,0,0,0,0
21.93,51.39,100.18590220005568,606.8616868067865,1.0,3.0,1,0.16992977700475986,0,0,0,0,0,0,0,1
17.87,43.78,72.3142569205544,621.368728239823,0.0,,0,3.785655267099458,0,1,0,0,0,1,0,0
22.21,51.93,96.844565791675,603.2184119171945,1.0,,2,0.2245317799715214,1,0,0,0,0,0,0,0
18.68,52.6,122.7645119827265,592.6473746295454,1.0,2.0,1,0.691917550047678,0,0,0,0,0,0,0,0
12.539999999999997,51.84,104.23765391956633,609.7337058820542,1.0,2.0,0,-0.09570599448014094,1,0,0,0,1,0,0,0
19.81,58.73,166.66874426012515,550.0242404353945,1.0,2.0,0,-1.5763837316255154,0,1,0,0,1,0,0,0
22.74,51.42,101.34953816870404,606.7030277841297,1.0,2.0,0,0.2763695735545005,1,0,0,0,1,0,0,0
19.4,52.73,123.26790163036844,591.7877688897382,1.0,3.0,1,1.0565070057232073,0,0,1,0,0,0,0,0
22.92,51.21,104.2646773105038,604.860089078812,1.0,,0,-0.13470682257904631,1,0,0,0,0,0,0,0
23.08,50.95,103.59775753263226,605.7990625190025,1.0,,2,0.15246097259266272,1,0,0,0,1,0,0,0
19.35,47.73,75.01891960081446,628.8947525629055,1.0,3.0,1,3.020171680333772,0,1,0,0,0,0,0,0
23.7,49.71,108.18283690775698,612.9895403669589,1.0,3.0,1,-0.027049978079109496,1,0,0,0,0,1,0,0
23.43,51.39,111.56876274097488,605.5679041674757,1.0,3.0,2,-0.23356826050723978,1,0,0,0,0,0,0,1
12.539999999999997,47.32,111.79059401706522,577.632465940194,2.0,3.0,0,-0.19048029862695154,0,0,1,0,1,0,0,0
29.580000000000005,49.94,107.09414598275411,600.8342556936332,1.0,,2,-0.09783744701226667,1,0,0,0,0,0,1,0
18.73,52.93,77.55787228886052,619.4490826487518,1.0,2.0,1,2.8987188073314045,0,0,0,1,0,0,0,0
23.63,51.39,141.43126317156936,563.2920163521098,2.0,3.0,1,-2.7106925672115834,1,0,0,0,1,0,0,0
24.25,51.39,101.91827666272889,598.0959897553745,2.0,1.0,1,-0.2165186389686048,1,0,0,0,1,0,0,0
19.87,52.56,112.70651965455536,557.0240388912005,1.0,3.0,0,-0.4300483753656898,0,0,1,0,0,0,0,0
24.19,49.11,103.73927182194016,604.3111313156309,1.0,3.0,1,-0.01946162986554803,1,0,0,0,0,1,0,0
24.1,49.16,102.75668429831796,602.3806362648402,1.0,,0,0.10423066223258091,1,0,0,0,0,0,1,0
24.08,49.09,104.17716851791955,604.5809812142369,2.0,1.0,0,-0.220702748212071,1,0,0,0,0,0,0,1
19.37,57.36,116.61441329077128,598.1149682139978,2.0,3.0,0,-0.0036829971537984765,0,1,0,0,1,0,0,0
24.5,47.59,103.86554273195873,602.0088415303027,1.0,,1,0.08974419972642954,1,0,0,0,0,1,0,0
15.48,42.19,166.66874426012515,605.2286667084591,1.0,,0,4.153103544991243,0,1,0,0,0,0,0,0
24.94,46.56,54.38711065196236,605.8680701925945,1.0,,1,-0.14516021069319013,1,0,0,0,0,0,1,0
24.77,46.93,103.95855371210487,597.9077437831438,1.0,3.0,1,-0.04338770105928049,1,0,0,0,0,0,0,1
19.43,53.18,88.88005505743772,572.1101392871815,1.0,3.0,0,-0.19014695079702792,0,0,0,0,0,0,0,0
24.68,51.39,113.58471440383173,599.4548793353615,2.0,2.0,1,-0.48689260286338526,1,0,0,0,0,0,0,0
24.92,46.65,107.366911668806,600.0270515428338,2.0,2.0,2,-1.5352383044307452,1,0,0,0,0,0,0,0
29.580000000000005,48.34,110.55291314291937,605.1455533787171,2.0,3.0,1,-0.5583632415873444,1,0,0,1,0,0,0,0
23.94,48.99,127.38768967635292,589.9498310655981,2.0,3.0,0,-0.5150271850748602,1,0,0,0,0,1,0,0
29.580000000000005,48.51,120.22080063389004,599.2374284747833,2.0,0.0,0,-1.6010371650432962,1,0,0,0,0,0,0,1
20.66,51.39,130.31147862320495,572.3565770299084,2.0,2.0,1,-0.19032429248763405,0,0,0,0,0,0,1,0
29.580000000000005,52.08,138.4817543897393,593.3966595009268,2.0,3.0,0,-0.21811423897204268,1,0,0,1,0,0,0,0
29.580000000000005,51.39,118.4412166058418,595.7294346253915,2.0,3.0,0,-1.5610757088327032,1,0,0,0,0,1,0,0
23.1,51.39,54.38711065196236,570.9823979498846,1.0,2.0,0,-2.6000814993679637,1,0,0,1,0,0,0,0
16.31,48.26,72.74928133159473,605.7003586123409,1.0,3.0,0,3.6679105276558546,0,0,0,0,0,0,0,1
24.91,48.19,116.51419045027993,595.1145817699995,2.0,1.0,0,-1.1982737354732982,1,0,0,0,0,1,0,0
24.92,48.03,118.08810306936626,601.1111885956436,2.0,2.0,0,-1.0639778486484552,1,0,0,0,0,1,0,0
21.0,57.79,120.20849906444404,546.3722243469151,1.0,2.0,0,-0.525178192744494,0,0,1,0,1,0,0,0
24.86,48.3,130.2385431261466,594.774794877312,3.0,2.0,0,-0.9491244621510182,1,0,0,0,0,1,0,0
18.35,53.43,103.09428740955792,566.3607228734368,1.0,3.0,0,-1.4233013962278631,0,0,0,0,0,1,0,0
24.63,48.57,123.46203811347785,601.1021244264977,3.0,3.0,0,-1.6372471864266693,1,0,0,0,0,1,0,0
18.57,42.15250000000002,121.18492261318048,579.7039704072748,1.0,3.0,1,0.021481654814039058,0,0,1,0,0,0,0,0
29.580000000000005,49.16,118.65798066754472,595.1337899391223,3.0,1.0,0,-1.5188196123570739,1,0,0,0,0,0,0,1
23.96,50.52,142.70154352639773,546.6907447922083,1.0,,0,-1.5936020692918689,1,0,0,0,0,0,1,0
17.43,42.6,89.41818953621097,595.3771076432525,1.0,,1,2.406763546725647,0,1,0,0,0,1,0,0
29.580000000000005,50.55,117.80117718001432,601.516326788962,3.0,1.0,0,-1.4942038562576412,1,0,0,0,0,0,0,0
24.0,51.39,54.38711065196236,598.0227600562224,3.0,,0,-0.22958305809943402,1,0,0,0,0,0,0,0
23.22,51.39,121.838526439944,597.363783323919,3.0,2.0,0,-1.3679540223459603,1,0,0,0,0,1,0,0
29.580000000000005,51.94,113.9033380606571,596.7133458384259,1.0,2.0,0,-2.3844802193919556,1,0,0,0,0,0,1,0
22.73,59.812499999999986,125.46616344446,591.5196173863786,3.0,3.0,0,-1.4860989861946259,1,0,0,0,1,0,0,0
17.79,52.62,123.40616232095134,596.4830167304939,0.0,3.0,1,2.21192631032805,0,0,1,0,0,0,0,0
23.1,52.18,110.27111079412704,560.5661124825334,3.0,2.0,0,-3.723845189320131,1,0,0,0,0,1,0,0
22.4,53.05,116.49355862945524,599.1034600888916,3.0,,0,0.0557886190427414,1,0,0,1,0,0,0,0
22.35,53.17,119.06711787993628,593.891696586795,3.0,2.0,0,-1.2283389561193852,1,0,0,1,0,0,0,0
29.580000000000005,52.67,118.15349416243488,599.7473245651153,3.0,3.0,0,-1.3955183507022226,1,0,0,1,0,0,0,0
19.68,50.01,123.27657112146854,592.9941147826512,1.0,3.0,1,-1.2851081038213177,1,0,0,0,0,0,1,0
22.21,53.22,123.41401354194258,593.8818859099352,3.0,3.0,0,-0.9373314891629789,1,0,0,1,0,0,0,0
21.53,51.39,118.41743694467384,593.7223980323458,3.0,3.0,0,-1.0285491503798811,1,0,0,0,0,0,1,0
12.614772127623358,52.79,115.63568837809242,550.8713604650706,1.0,2.0,0,-1.6381336324645768,0,0,1,0,0,0,1,0
21.78,54.45,118.66193649157478,594.3288738388804,3.0,,0,-0.7163303428411545,1,0,0,0,0,0,0,1
21.76,54.56,108.49696597954237,595.1227591621906,3.0,,0,-0.9171120042413998,1,0,0,0,0,0,0,0
21.35,55.62,107.9962962212852,601.310360645066,1.0,3.0,0,-0.9677332896021501,1,0,0,1,0,0,0,0
21.32,55.61,109.88748325086812,597.0264873272876,3.0,3.0,0,0.6400799433397897,1,0,0,0,1,0,0,0
22.71,44.01,128.8065837750779,573.4681556857834,1.0,,0,-0.6169119205393772,1,0,0,1,0,0,0,0
19.54,55.7,54.38711065196236,562.7279177378743,1.0,2.0,1,0.6604284276509329,0,1,0,0,0,0,0,0
21.16,55.76,107.37536778345012,602.4714285646234,3.0,2.0,0,-0.6373892191632222,1,0,0,0,1,0,0,0
23.62,46.37,113.92975454123724,582.3789288740769,1.0,3.0,2,-0.3968170834140218,0,0,0,0,1,0,0,0
19.69,42.15250000000002,120.01758372752089,549.4226349725936,2.0,2.0,0,-1.7463702269276948,0,0,1,0,0,0,1,0
18.63,53.7,120.524377973475,592.700750732716,1.0,0.0,0,0.3180290963475245,0,1,0,0,0,0,0,0
19.43,57.72,105.62235442287404,559.7253244061958,1.0,3.0,0,0.3137670980819811,0,0,0,0,0,0,0,0
20.96,51.39,111.10444391559034,603.1897259730089,3.0,,0,0.35952164785950996,0,0,1,1,0,0,0,0
19.9,49.2,116.28561745814848,597.3942303522755,1.0,2.0,1,0.1946039340438342,0,0,1,0,1,0,0,0
20.91,55.97,107.39196952055968,604.702770131039,3.0,3.0,0,-0.7784928407493096,0,0,1,0,1,0,0,0
20.81,55.89,105.45355158356196,606.5661331764908,3.0,2.0,0,-0.449902362691464,0,0,1,0,0,0,0,1
20.89,55.69,112.6868005624484,606.5442477470872,3.0,3.0,0,-0.2485223146341764,0,0,1,0,0,0,1,0
20.94,55.52,112.71896824027344,598.9193981857563,3.0,1.0,0,-0.6389456741472906,0,0,1,0,0,0,0,1
20.74,55.97,103.41038067519288,597.4940311954783,3.0,3.0,0,-0.7672563354167986,0,0,1,0,1,0,0,0
22.73,50.64,123.65386431402077,556.9789993405349,2.0,3.0,0,-1.0455945514480727,1,0,0,0,0,0,0,0
18.66,49.74,128.8697411459562,575.797363615739,2.0,3.0,0,-0.6322218696795427,0,1,0,0,0,0,0,1
21.42,52.45,121.59662740652428,571.8933607633509,2.0,,0,-2.950788604906633,0,0,1,0,0,0,0,0
25.16,46.81,116.68716038954452,566.7471471597266,2.0,3.0,0,-1.984013036282584,1,0,0,0,0,0,0,1
20.78,55.78,54.38711065196236,597.6516545054961,3.0,3.0,0,-0.8259573067682265,0,0,1,0,0,0,0,0
20.63,56.16,111.23500661060476,598.666515166506,3.0,,0,-0.4719176024142725,0,0,1,1,0,0,0,0
29.580000000000005,51.39,109.26286710230474,597.4483855398909,3.0,3.0,0,-0.5902356995781642,0,0,1,0,0,0,0,1
20.52,56.48,108.74585098991128,601.4772403177711,1.0,2.0,0,-0.8512353298096634,0,0,1,0,0,0,1,0
20.43,56.6,110.95409168917448,600.0704838708672,3.0,,0,-0.5310733608685007,0,0,1,0,1,0,0,0
20.39,56.53,105.61410295771202,596.2623398278696,3.0,0.0,0,-0.6384347365160578,0,0,1,1,0,0,0,0
20.69,58.24,119.07063390477364,546.6331401840085,1.0,2.0,0,-0.4469882037845988,0,0,1,0,0,0,1,0
20.45,56.3,113.2936640464556,597.4231220665458,1.0,3.0,0,-0.42792142328965277,0,0,1,0,0,0,1,0
20.72,50.69,105.90768030326568,582.9474039135033,1.0,3.0,1,0.41387649966044093,0,0,0,0,1,0,0,0
18.44,51.39,113.9173553788458,590.4966183438974,1.0,3.0,0,1.688907019276807,0,0,1,0,0,1,0,0
24.29,49.72,141.85536051092294,561.2254801740612,2.0,3.0,0,-3.0853854348724608,1,0,0,0,1,0,0,0
17.66,44.92,99.21808948735122,603.3488708266576,0.0,0.0,0,1.4627298909413662,0,1,0,0,1,0,0,0
22.02,49.65,122.96533048580312,578.5027409647732,2.0,3.0,0,-0.6551813727167747,0,0,0,1,0,0,0,0
20.24,51.39,104.71479153873618,600.0579681245115,3.0,2.0,0,-0.424654542203158,0,0,1,0,0,0,0,0
22.11,43.03,100.00910100516934,589.8808777871008,1.0,3.0,1,0.6090438521729237,1,0,0,0,0,0,0,0
20.31,55.74,141.10259533181534,554.9830967369595,2.0,2.0,0,-1.6458852864213631,0,0,1,0,0,0,0,0
29.580000000000005,56.4,111.05329035666476,594.9892259271221,3.0,1.0,0,-0.6045389523907948,0,0,1,0,0,1,0,0
20.22,56.7,112.6787190176048,597.9566052098554,3.0,0.0,0,-0.6754944171957936,0,0,1,0,1,0,0,0
20.11,57.0,166.66874426012515,590.3097819193272,1.0,2.0,0,-1.7610923922538917,0,0,1,0,1,0,0,0
20.21,56.79,115.05179403799887,595.4133630232244,3.0,3.0,0,-0.42974705916321476,0,0,1,0,0,0,0,1
22.56,44.84,128.4301050559735,578.0463042954354,2.0,2.0,0,-0.44962184905987057,1,0,0,0,0,1,0,0
19.42,48.75,116.64658469797334,586.9930581588069,1.0,3.0,2,0.4161570259548948,0,0,1,1,0,0,0,0
23.64,51.39,88.7720054418626,609.1390408298419,1.0,,0,-0.10859443636126527,0,0,0,0,0,1,0,0
20.15,56.69,106.96921984208184,596.9986662394251,3.0,1.0,0,-0.608290538596249,0,0,1,1,0,0,0,0
20.15,56.69,111.27984831669409,600.0249736519463,3.0,3.0,1,-0.8183672195042517,0,0,1,0,0,0,1,0
20.13,56.69,106.22992593005328,597.5493733676035,3.0,3.0,0,-0.3060524479377096,0,0,1,0,0,1,0,0
20.04,56.91,111.88735724826256,602.3429293905804,3.0,2.0,0,-0.6004162358837487,0,0,1,0,1,0,0,0
20.08,56.72,109.87853585571258,599.9627020531453,3.0,2.0,2,-0.5100233907275749,0,0,1,0,1,0,0,0
19.0,57.3,139.3936437659225,560.2879329419133,1.0,3.0,2,-0.8414847602569746,0,1,0,1,0,0,0,0
20.09,56.63,109.25784263316396,598.0901236736883,3.0,2.0,0,-1.5171539813403185,0,0,1,0,0,0,1,0
20.03,56.82,115.09986851026156,595.689597520013,3.0,0.0,2,-0.43075669372207337,0,0,1,0,0,0,0,0
20.07,56.6,166.66874426012515,598.2023350732635,3.0,3.0,0,-0.26734232105215505,0,0,1,0,0,1,0,0
20.15,51.39,110.61216455892452,599.1217738976046,3.0,3.0,0,-0.37247582617868047,0,0,1,1,0,0,0,0
15.24,42.91,71.0998696683535,593.3625006167687,1.0,2.0,1,4.033471811875922,0,1,0,0,0,0,1,0
19.84,56.94,116.32124273345296,599.1693585523478,3.0,3.0,2,-0.7428732062868547,0,0,1,0,0,0,1,0
19.81,57.03,111.50224836955618,595.0367872211999,1.0,3.0,0,-0.014421476913917633,0,0,1,1,0,0,0,0
19.8,51.39,111.09148562836256,592.2842119895377,3.0,2.0,2,-0.21489420595316155,0,0,1,0,0,0,0,1
23.11,51.82,128.27866967438348,564.6254570856025,2.0,2.0,2,-3.5324056077029886,1,0,0,0,0,0,0,0
12.539999999999997,56.94,111.73366571096466,591.2702435240869,3.0,3.0,0,0.9380202767093777,0,0,1,0,1,0,0,0
19.86,56.93,110.52276590221308,598.5517619655567,3.0,,1,-0.02251416376801765,0,0,1,0,0,0,1,0
16.71,49.82,109.96495622689916,575.5868462886664,2.0,2.0,1,1.525339245792885,0,1,0,0,0,0,1,0
19.78,51.44,80.8594896395042,616.1314936307273,1.0,,0,1.5824560257487827,0,1,0,0,0,0,0,1
29.580000000000005,51.39,113.98311543544628,597.4456331654562,2.0,,2,-0.23953823142555092,0,0,1,0,0,0,0,0
19.79,57.06,111.74949505992195,598.968209491138,2.0,3.0,2,0.042625749019988356,0,0,1,0,0,0,1,0
19.61,46.88,84.64702455697639,592.7325938645951,1.0,3.0,0,-0.4895733676277704,0,0,0,0,0,0,0,1
19.81,57.07,108.49051148011868,600.1393258938489,2.0,2.0,1,-0.2945299161421493,0,0,1,0,0,0,0,1
19.86,56.82,116.83504148039876,598.7957984944505,2.0,2.0,0,-0.11838507821715077,0,0,1,0,1,0,0,0
19.8,57.01,54.38711065196236,601.0769697927983,2.0,3.0,1,0.10035432386714811,0,0,1,0,1,0,0,0
19.77,57.08,119.53957850248636,596.3507267580078,2.0,3.0,0,-0.28628663290195094,0,0,1,1,0,0,0,0
23.26,50.85,111.50702278222998,548.2567772333749,1.0,3.0,1,0.29878624627295847,1,0,0,0,1,0,0,0
19.72,57.16,114.5141727827575,598.1499069524857,2.0,2.0,2,-0.4990695287196014,0,0,1,0,0,0,1,0
23.64,49.12,112.31523014796754,539.9983569585311,3.0,,0,-1.088718245419183,0,0,0,0,0,0,0,1
19.7,57.24,116.84222779583445,598.1907666620679,2.0,2.0,2,-0.18236660179122235,0,0,1,0,0,0,0,1
19.68,57.28,112.9714730416834,597.2043374298859,2.0,2.0,1,-0.3760594395491027,0,0,1,1,0,0,0,0
19.67,42.15250000000002,166.66874426012515,600.6560195070701,2.0,3.0,0,0.04964484213597015,0,0,1,1,0,0,0,0
19.99,52.77,54.38711065196236,588.7376635311075,1.0,2.0,1,-0.7608819859320398,0,0,1,0,0,0,1,0
18.67,53.63,131.86242774431312,586.3110761400059,1.0,3.0,0,-0.8395294648654903,0,0,1,1,0,0,0,0
17.77,52.66,121.58498215431456,588.657094615215,1.0,,2,1.620339300936102,0,0,1,0,0,0,0,1
19.64,57.32,113.41771925603835,597.4889861262423,1.0,3.0,2,-0.0935879421123034,0,0,1,0,0,0,0,0
19.64,57.27,120.1613846788937,596.1245473334203,2.0,3.0,2,0.02284862541435866,0,0,1,0,0,0,0,1
24.15,46.51,166.66874426012515,574.2740438465695,1.0,2.0,2,-0.19365532035580052,1,0,0,0,0,0,0,0
24.04,53.41,115.93852527095288,549.8980183031402,1.0,2.0,0,-1.3565700554269742,0,0,0,0,1,0,0,0
19.65,57.13,118.0405322258907,600.4878471449183,2.0,2.0,2,0.028843087438571103,0,1,0,1,0,0,0,0
19.63,57.03,112.8150576129847,595.4796085012842,2.0,,0,-0.0768314146689462,0,1,0,0,1,0,0,0
19.67,56.89,111.07484472024862,601.4928374432794,2.0,,1,0.06807447645601584,0,1,0,0,1,0,0,0
23.36,51.44,110.998540519663,549.1473312757292,1.0,3.0,0,-0.6782716364970153,0,0,0,1,0,0,0,0
24.06,44.04,105.26456311553984,598.3885022375904,1.0,,1,0.8685458982829054,1,0,0,0,0,0,1,0
27.53231933709369,56.64,119.06843632760275,593.056579537087,2.0,,1,-0.7642764391511881,0,1,0,0,0,0,0,1
19.66,51.39,115.60484479364092,598.9721528812654,2.0,1.0,1,0.021365188467939406,0,1,0,1,0,0,0,0
